RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
394351,253,"Auburn, AL",msa,AL,332420.0,287669.0,293044.5,307216.0,334225.0,306605.0,314096.5,302460.0,282201.0,274198.0,275990.0,311722.5,294702.5,277926.0,308999.0,292035.0,289310.0,311999.0,283135.0,268000.0,280571.0,316251.0,280646.0,297394.0,304900.0,329313.0,298994.5,306871.5,302478.0,285000.0,273270.0,287255.0,293237.0,297950.0,309900.0,313130.0,297725.0,299000.0,304900.0,295295.0,312548.0,318664.0,303323.5,314429.5,330940.0,326153.0,300000.0,337055.0,293400.0,340000.0,316552.5,316900.0,369700.0,359990.0,328540.3,345685.0,345638.0,383500.0,415635.5,386750.0,419900.0,382009.0,347799.5,363900.0,379900.0,407484.5,417232.5,352900.0,364000.0,370084.5,385000.0,423032.0,390514.0,366799.5,369900.0,391574.0,379900.0,426261.5,366497.0,391101.0,380000.0,365035.5,395000.0,385000.0,379150.0,382900.0,388132.0,367198.0,389941.0,404900.0,387900.0,411939.0,407500.0,406338.5,431051.5
394860,254,"Midland, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373250.0,373540.0,414445.0,418221.0,417240.0,359360.0,377090.0,402420.0,425000.0
394651,259,"Greenville, NC",msa,NC,166000.0,212900.0,185000.0,199000.0,161000.0,173000.0,166000.0,162000.0,208250.0,235000.0,198000.0,208250.0,198885.0,202500.0,178300.0,223000.0,203812.5,219000.0,200000.0,181000.0,209800.0,222000.0,231000.0,219790.0,161500.0,190000.0,216500.0,221000.0,217950.0,246750.0,235950.0,221000.0,238000.0,268530.0,256000.0,237750.0,270750.0,256500.0,257500.0,270000.0,270000.0,261500.0,281402.5,287995.0,288870.0,290740.0,288750.0,308500.0,307000.0,310000.0,311900.0,288000.0,299000.0,335675.0,325000.0,346000.0,330657.5,354475.0,326495.0,329750.0,321000.0,304497.5,304500.0,332000.0,341000.0,327500.0,330500.0,337500.0,319995.0,340000.0,312500.0,317000.0,289000.0,309500.0,320000.0,301000.0,307000.0,315495.0,284000.0,285000.0,320000.0,315500.0,298400.0,309000.0,338840.0,313292.0,322602.5,325020.0,334490.0,321245.0,349260.0,305240.0,297500.0,316990.0,263900.0
394428,260,"Burlington, NC",msa,NC,169495.0,206000.0,200000.0,172000.0,177000.0,190500.0,185500.0,179500.0,191000.0,224500.0,194000.0,182000.0,191000.0,190000.0,183000.0,184000.0,215000.0,236250.0,225000.0,240000.0,284000.0,240000.0,235000.0,275828.5,215000.0,235000.0,228995.0,242250.0,249995.0,245180.0,249990.0,254400.0,202000.0,268495.0,282945.0,285265.0,290585.0,247000.0,260000.0,250000.0,273000.0,260740.0,264140.0,269990.0,271740.0,274740.0,289495.0,283740.0,292232.5,319500.0,331500.0,311250.0,394000.0,392500.0,383643.0,416000.0,414750.0,391000.0,405200.0,391315.0,374000.0,379990.0,363440.0,359215.0,355500.0,353245.0,327245.0,353940.0,363000.0,356940.0,364940.0,367250.0,369745.0,359745.0,359900.0,363000.0,339995.0,350000.0,333195.0,374940.0,363950.0,340000.0,340000.0,339000.0,299990.0,338467.5,380000.0,382000.0,365995.0,383000.0,384500.0,360500.0,368642.5,362000.0,369000.0
394480,262,"Coeur d'Alene, ID",msa,ID,296295.0,291395.0,314750.0,340023.5,305679.0,333742.5,318210.0,331338.0,351700.5,330337.5,315765.0,333930.0,323789.0,355027.5,320340.0,356545.0,348745.0,367500.0,349735.0,329000.0,320677.0,347307.0,348400.0,335354.0,337929.0,370000.0,366722.0,340789.0,336152.0,356018.5,351010.0,352961.5,379962.5,389599.0,389102.5,350941.0,416895.0,412625.0,467000.0,420213.5,468003.0,480000.0,457141.0,498500.0,512046.0,531555.0,525768.0,529126.0,520000.0,522770.0,535950.0,577245.5,560991.0,560487.0,599384.5,601374.0,590536.0,632325.0,680000.0,608996.0,571500.0,541000.0,525000.0,555000.0,547352.0,544842.5,568276.0,685000.0,610475.0,589475.0,549950.0,519960.0,604990.0,549428.0,544995.0,552283.0,549900.0,507260.0,546600.0,526950.0,524950.0,564975.0,581647.0,562145.0,537258.0,580835.0,556827.0,532000.0,544455.0,555837.0,607000.0,614962.5,615237.0,628128.0,609987.5
394930,271,"Odessa, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324750.0,334890.0
395125,273,"State College, PA",msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433490.0
395079,274,"Sebastian, FL",msa,FL,265700.0,275826.0,267445.0,276400.0,258773.0,262200.0,245000.0,277900.0,277200.0,269200.0,256900.0,296000.0,286575.0,261100.0,300800.0,286000.0,297875.0,281705.0,290000.0,300000.0,275000.0,264155.0,251500.0,282525.0,282400.0,246900.0,303000.0,298900.0,276900.0,267710.5,273750.0,256155.0,264950.0,299000.0,329250.0,304050.0,280800.0,297800.0,329774.0,290450.0,327160.0,378168.5,347175.0,341652.5,322104.5,335150.0,330000.0,342000.0,355500.0,356650.0,362450.0,355085.0,375400.0,381900.0,387500.0,394637.5,393790.0,410900.0,423900.0,444500.0,449900.0,413200.0,422650.0,410000.0,380380.0,461200.0,381659.0,374297.5,395500.0,392822.5,370732.5,495800.0,365000.0,396582.5,474110.0,481560.0,554145.5,455845.0,415579.5,486500.0,464995.0,460000.0,445450.0,405000.0,424075.0,443000.0,408800.0,397075.0,379190.0,377500.0,402900.0,402000.0,378475.0,390000.0,381500.0
394814,275,"Madera, CA",msa,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480000.0,491000.0,442500.0,453000.0
394639,280,"Grand Junction, CO",msa,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537950.0,450063.5
